state,county,date,m50_count
Alabama,Dallas County,2020-03-04,79
Alabama,Dallas County,2020-03-05,105
Alabama,Dallas County,2020-03-06,124
Alabama,Dallas County,2020-03-09,115
Alabama,Dallas County,2020-03-10,90
Alabama,Dallas County,2020-03-11,98
Alabama,Dallas County,2020-03-12,117
Alabama,Dallas County,2020-03-13,124
Alabama,Dallas County,2020-03-16,99
Alabama,Dallas County,2020-03-17,94
Alabama,Dallas County,2020-03-18,85
Alabama,Dallas County,2020-03-19,83
Alabama,Dallas County,2020-03-20,90
Alabama,DeKalb County,2020-03-02,91
Alabama,DeKalb County,2020-03-03,100
Alabama,DeKalb County,2020-03-04,95
Alabama,DeKalb County,2020-03-05,102
Alabama,DeKalb County,2020-03-06,122
Alabama,DeKalb County,2020-03-09,93
Alabama,DeKalb County,2020-03-10,94
Alabama,DeKalb County,2020-03-11,102
Alabama,DeKalb County,2020-03-12,102
Alabama,DeKalb County,2020-03-13,104
Alabama,DeKalb County,2020-03-16,87
Alabama,DeKalb County,2020-03-17,79
Alabama,DeKalb County,2020-03-18,81
Alabama,DeKalb County,2020-03-19,82
Alabama,DeKalb County,2020-03-20,80
Alabama,Elmore County,2020-03-02,100
Alabama,Elmore County,2020-03-03,95
Alabama,Elmore County,2020-03-04,95
Alabama,Elmore County,2020-03-05,99
Alabama,Elmore County,2020-03-06,112
Alabama,Elmore County,2020-03-09,105
Alabama,Elmore County,2020-03-10,103
Alabama,Elmore County,2020-03-11,104
Alabama,Elmore County,2020-03-12,106
Alabama,Elmore County,2020-03-13,106
Alabama,Elmore County,2020-03-16,92
Alabama,Elmore County,2020-03-17,80
Alabama,Elmore County,2020-03-18,71
Alabama,Elmore County,2020-03-19,74
Alabama,Elmore County,2020-03-20,77
Alabama,Escambia County,2020-03-02,93
Alabama,Escambia County,2020-03-03,100
Alabama,Escambia County,2020-03-04,84
Alabama,Escambia County,2020-03-05,111
Alabama,Escambia County,2020-03-06,127
Alabama,Escambia County,2020-03-09,102
Alabama,Escambia County,2020-03-10,91
Alabama,Escambia County,2020-03-11,93
Alabama,Escambia County,2020-03-12,116
Alabama,Escambia County,2020-03-13,113
Alabama,Escambia County,2020-03-16,83
Alabama,Escambia County,2020-03-17,70
Alabama,Escambia County,2020-03-18,65
Alabama,Escambia County,2020-03-19,62
Alabama,Escambia County,2020-03-20,77
Alabama,Etowah County,2020-03-02,94
Alabama,Etowah County,2020-03-03,99
Alabama,Etowah County,2020-03-04,100
Alabama,Etowah County,2020-03-05,101
Alabama,Etowah County,2020-03-06,111
Alabama,Etowah County,2020-03-09,103
Alabama,Etowah County,2020-03-10,98
Alabama,Etowah County,2020-03-11,99
Alabama,Etowah County,2020-03-12,104
Alabama,Etowah County,2020-03-13,104
Alabama,Etowah County,2020-03-16,88
Alabama,Etowah County,2020-03-17,79
Alabama,Etowah County,2020-03-18,81
Alabama,Etowah County,2020-03-19,78
Alabama,Etowah County,2020-03-20,80
Alabama,Fayette County,2020-03-02,98
Alabama,Fayette County,2020-03-03,91
Alabama,Fayette County,2020-03-04,81
Alabama,Fayette County,2020-03-05,121
Alabama,Fayette County,2020-03-06,138
Alabama,Fayette County,2020-03-09,90
Alabama,Fayette County,2020-03-10,102
Alabama,Fayette County,2020-03-11,91
Alabama,Fayette County,2020-03-12,102
Alabama,Fayette County,2020-03-13,127
Alabama,Fayette County,2020-03-16,79
Alabama,Fayette County,2020-03-17,62
Alabama,Fayette County,2020-03-18,70
Alabama,Fayette County,2020-03-19,64
Alabama,Fayette County,2020-03-20,65
Alabama,Franklin County,2020-03-02,90
Alabama,Franklin County,2020-03-03,100
Alabama,Franklin County,2020-03-04,97
Alabama,Franklin County,2020-03-05,94
Alabama,Franklin County,2020-03-06,123
Alabama,Franklin County,2020-03-09,107
Alabama,Franklin County,2020-03-10,93
Alabama,Franklin County,2020-03-11,105
Alabama,Franklin County,2020-03-12,107
Alabama,Franklin County,2020-03-13,113
Alabama,Franklin County,2020-03-16,74
Alabama,Franklin County,2020-03-17,59
Alabama,Franklin County,2020-03-18,69
Alabama,Franklin County,2020-03-19,77
Alabama,Franklin County,2020-03-20,73
Alabama,Geneva County,2020-03-02,94
Alabama,Geneva County,2020-03-03,94
Alabama,Geneva County,2020-03-04,84
Alabama,Geneva County,2020-03-05,100
Alabama,Geneva County,2020-03-06,113
Alabama,Geneva County,2020-03-09,98
Alabama,Geneva County,2020-03-10,95
Alabama,Geneva County,2020-03-11,102
Alabama,Geneva County,2020-03-12,106
Alabama,Geneva County,2020-03-13,98
Alabama,Geneva County,2020-03-16,85
Alabama,Geneva County,2020-03-17,82
Alabama,Geneva County,2020-03-18,86
Alabama,Geneva County,2020-03-19,75
Alabama,Geneva County,2020-03-20,83
Alabama,Greene County,2020-03-02,96
Alabama,Greene County,2020-03-03,107
Alabama,Greene County,2020-03-04,97
Alabama,Greene County,2020-03-05,106
Alabama,Greene County,2020-03-06,118
Alabama,Greene County,2020-03-09,96
Alabama,Greene County,2020-03-10,122
Alabama,Greene County,2020-03-11,108
Alabama,Greene County,2020-03-12,108
Alabama,Greene County,2020-03-13,120
Alabama,Greene County,2020-03-17,97
Alabama,Greene County,2020-03-18,100
Alabama,Greene County,2020-03-19,118
Alabama,Greene County,2020-03-20,105
Alabama,Hale County,2020-03-02,94
Alabama,Hale County,2020-03-03,94
Alabama,Hale County,2020-03-04,100
Alabama,Hale County,2020-03-05,99
Alabama,Hale County,2020-03-06,109
Alabama,Hale County,2020-03-09,99
Alabama,Hale County,2020-03-10,97
Alabama,Hale County,2020-03-11,100
Alabama,Hale County,2020-03-12,108
Alabama,Hale County,2020-03-13,111
Alabama,Hale County,2020-03-16,97
Alabama,Hale County,2020-03-17,88
Alabama,Hale County,2020-03-18,90
Alabama,Hale County,2020-03-19,82
Alabama,Hale County,2020-03-20,89
